question,category,api_type,expected_has_reference,expected_reference_file,expected_answer_type,keywords,difficulty,test_purpose
17db2889d66949e78844a2e30ce4fce3_20250812_141241.pptx 파일이 있나요?,document_existence,general,True,17db2889d66949e78844a2e30ce4fce3_20250812_141241.pptx,확인,"데이터, 분석, 기반",easy,문서 존재 확인
PPTX 파일 중에 데이터 내용이 있나요?,document_existence,general,True,17db2889d66949e78844a2e30ce4fce3_20250812_141241.pptx,확인,"데이터, 분석, 기반",easy,문서 존재 확인
업로드된 문서 중에 데이터 관련 자료가 있나요?,document_existence,general,True,17db2889d66949e78844a2e30ce4fce3_20250812_141241.pptx,확인,"데이터, 분석, 기반",easy,문서 존재 확인
데이터에 대해 알려주세요,content_inquiry,general,True,17db2889d66949e78844a2e30ce4fce3_20250812_141241.pptx,설명,"데이터, 분석, 기반",medium,내용 검색 및 설명
데이터 관련 정보를 찾아주세요,content_inquiry,general,True,17db2889d66949e78844a2e30ce4fce3_20250812_141241.pptx,설명,"데이터, 분석, 기반",medium,내용 검색 및 설명
데이터의 특징이나 내용을 설명해주세요,content_inquiry,general,True,17db2889d66949e78844a2e30ce4fce3_20250812_141241.pptx,설명,"데이터, 분석, 기반",medium,내용 검색 및 설명
데이터 PPT 만들어주세요,ppt_generation,ppt,True,17db2889d66949e78844a2e30ce4fce3_20250812_141241.pptx,PPT 생성,"데이터, 분석, 기반",hard,PPT 생성 기능
데이터 발표자료 생성해주세요,ppt_generation,ppt,True,17db2889d66949e78844a2e30ce4fce3_20250812_141241.pptx,PPT 생성,"데이터, 분석, 기반",hard,PPT 생성 기능
데이터 프레젠테이션 만들어주세요,ppt_generation,ppt,True,17db2889d66949e78844a2e30ce4fce3_20250812_141241.pptx,PPT 생성,"데이터, 분석, 기반",hard,PPT 생성 기능
bc013ed9f7574691a01e2d327c3ea830_20250814_171208.docx 파일이 있나요?,document_existence,general,True,bc013ed9f7574691a01e2d327c3ea830_20250814_171208.docx,확인,"시험, 가정, cgm",easy,문서 존재 확인
DOCX 파일 중에 시험 내용이 있나요?,document_existence,general,True,bc013ed9f7574691a01e2d327c3ea830_20250814_171208.docx,확인,"시험, 가정, cgm",easy,문서 존재 확인
업로드된 문서 중에 시험 관련 자료가 있나요?,document_existence,general,True,bc013ed9f7574691a01e2d327c3ea830_20250814_171208.docx,확인,"시험, 가정, cgm",easy,문서 존재 확인
시험에 대해 알려주세요,content_inquiry,general,True,bc013ed9f7574691a01e2d327c3ea830_20250814_171208.docx,설명,"시험, 가정, cgm",medium,내용 검색 및 설명
시험 관련 정보를 찾아주세요,content_inquiry,general,True,bc013ed9f7574691a01e2d327c3ea830_20250814_171208.docx,설명,"시험, 가정, cgm",medium,내용 검색 및 설명
시험의 특징이나 내용을 설명해주세요,content_inquiry,general,True,bc013ed9f7574691a01e2d327c3ea830_20250814_171208.docx,설명,"시험, 가정, cgm",medium,내용 검색 및 설명
a1fd95b6d240479aa1cf053b8031444f_20250821_175103.pptx 파일이 있나요?,document_existence,general,True,a1fd95b6d240479aa1cf053b8031444f_20250821_175103.pptx,확인,"제품, 인슐린, 관리",easy,문서 존재 확인
PPTX 파일 중에 제품 내용이 있나요?,document_existence,general,True,a1fd95b6d240479aa1cf053b8031444f_20250821_175103.pptx,확인,"제품, 인슐린, 관리",easy,문서 존재 확인
